FTR,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
A,D1,05/08/2022,Ein Frankfurt,Bayern Munich,1,6
A,D1,06/08/2022,Augsburg,Freiburg,0,4
A,D1,06/08/2022,Bochum,Mainz,1,2
H,D1,06/08/2022,M'gladbach,Hoffenheim,3,1
H,D1,06/08/2022,Union Berlin,Hertha,3,1
D,D1,06/08/2022,Wolfsburg,Werder Bremen,2,2
H,D1,06/08/2022,Dortmund,Leverkusen,1,0
D,D1,07/08/2022,Stuttgart,RB Leipzig,1,1
H,D1,07/08/2022,FC Koln,Schalke 04,3,1
A,D1,12/08/2022,Freiburg,Dortmund,1,3
D,D1,13/08/2022,Hertha,Ein Frankfurt,1,1
H,D1,13/08/2022,Hoffenheim,Bochum,3,2
A,D1,13/08/2022,Leverkusen,Augsburg,1,2
D,D1,13/08/2022,RB Leipzig,FC Koln,2,2
D,D1,13/08/2022,Werder Bremen,Stuttgart,2,2
D,D1,13/08/2022,Schalke 04,M'gladbach,2,2
D,D1,14/08/2022,Mainz,Union Berlin,0,0
H,D1,14/08/2022,Bayern Munich,Wolfsburg,2,0
H,D1,19/08/2022,M'gladbach,Hertha,1,0
A,D1,20/08/2022,Augsburg,Mainz,1,2
A,D1,20/08/2022,Dortmund,Werder Bremen,2,3
A,D1,20/08/2022,Leverkusen,Hoffenheim,0,3
A,D1,20/08/2022,Stuttgart,Freiburg,0,1
D,D1,20/08/2022,Wolfsburg,Schalke 04,0,0
H,D1,20/08/2022,Union Berlin,RB Leipzig,2,1
D,D1,21/08/2022,Ein Frankfurt,FC Koln,1,1
A,D1,21/08/2022,Bochum,Bayern Munich,0,7
H,D1,26/08/2022,Freiburg,Bochum,1,0
A,D1,27/08/2022,Hertha,Dortmund,0,1
H,D1,27/08/2022,Hoffenheim,Augsburg,1,0
A,D1,27/08/2022,Mainz,Leverkusen,0,3
H,D1,27/08/2022,RB Leipzig,Wolfsburg,2,0
A,D1,27/08/2022,Schalke 04,Union Berlin,1,6
D,D1,27/08/2022,Bayern Munich,M'gladbach,1,1
D,D1,28/08/2022,FC Koln,Stuttgart,0,0
A,D1,28/08/2022,Werder Bremen,Ein Frankfurt,3,4
H,D1,02/09/2022,Dortmund,Hoffenheim,1,0
A,D1,03/09/2022,Bochum,Werder Bremen,0,2
A,D1,03/09/2022,Leverkusen,Freiburg,2,3
D,D1,03/09/2022,Stuttgart,Schalke 04,1,1
D,D1,03/09/2022,Union Berlin,Bayern Munich,1,1
A,D1,03/09/2022,Wolfsburg,FC Koln,2,4
H,D1,03/09/2022,Ein Frankfurt,RB Leipzig,4,0
A,D1,04/09/2022,Augsburg,Hertha,0,2
A,D1,04/09/2022,M'gladbach,Mainz,0,1
A,D1,09/09/2022,Werder Bremen,Augsburg,0,1
D,D1,10/09/2022,Bayern Munich,Stuttgart,2,2
A,D1,10/09/2022,Ein Frankfurt,Wolfsburg,0,1
D,D1,10/09/2022,Hertha,Leverkusen,2,2
H,D1,10/09/2022,Hoffenheim,Mainz,4,1
H,D1,10/09/2022,RB Leipzig,Dortmund,3,0
H,D1,10/09/2022,Schalke 04,Bochum,3,1
A,D1,11/09/2022,FC Koln,Union Berlin,0,1
D,D1,11/09/2022,Freiburg,M'gladbach,0,0
D,D1,16/09/2022,Mainz,Hertha,1,1
H,D1,17/09/2022,Augsburg,Bayern Munich,1,0
H,D1,17/09/2022,Dortmund,Schalke 04,1,0
D,D1,17/09/2022,Leverkusen,Werder Bremen,1,1
A,D1,17/09/2022,Stuttgart,Ein Frankfurt,1,3
H,D1,17/09/2022,M'gladbach,RB Leipzig,3,0
H,D1,18/09/2022,Union Berlin,Wolfsburg,2,0
D,D1,18/09/2022,Bochum,FC Koln,1,1
D,D1,18/09/2022,Hoffenheim,Freiburg,0,0
H,D1,30/09/2022,Bayern Munich,Leverkusen,4,0
H,D1,01/10/2022,Ein Frankfurt,Union Berlin,2,0
H,D1,01/10/2022,FC Koln,Dortmund,3,2
H,D1,01/10/2022,Freiburg,Mainz,2,1
H,D1,01/10/2022,RB Leipzig,Bochum,4,0
H,D1,01/10/2022,Wolfsburg,Stuttgart,3,2
H,D1,01/10/2022,Werder Bremen,M'gladbach,5,1
D,D1,02/10/2022,Hertha,Hoffenheim,1,1
A,D1,02/10/2022,Schalke 04,Augsburg,2,3
A,D1,07/10/2022,Hoffenheim,Werder Bremen,1,2
D,D1,08/10/2022,Augsburg,Wolfsburg,1,1
H,D1,08/10/2022,Bochum,Ein Frankfurt,3,0
H,D1,08/10/2022,Leverkusen,Schalke 04,4,0
D,D1,08/10/2022,Mainz,RB Leipzig,1,1
D,D1,08/10/2022,Dortmund,Bayern Munich,2,2
H,D1,09/10/2022,M'gladbach,FC Koln,5,2
D,D1,09/10/2022,Hertha,Freiburg,2,2
A,D1,09/10/2022,Stuttgart,Union Berlin,0,1
A,D1,14/10/2022,Schalke 04,Hoffenheim,0,3
H,D1,15/10/2022,Ein Frankfurt,Leverkusen,5,1
